repo,label,week_start,commits
pallets/flask,alive,2025-03-24,16
pallets/flask,alive,2024-11-18,11
pallets/flask,alive,2025-01-27,1
pallets/flask,alive,2025-01-20,1
pallets/flask,alive,2024-11-25,1
pallets/flask,alive,2024-12-30,5
pallets/flask,alive,2024-11-11,11
pallets/flask,alive,2024-11-04,7
pallets/flask,alive,2024-10-28,14
pallets/flask,alive,2024-06-10,1
pallets/flask,alive,2024-10-21,8
pallets/flask,alive,2024-08-05,3
pallets/flask,alive,2024-10-14,7
pallets/flask,alive,2024-09-16,1
pallets/flask,alive,2024-08-26,3
pallets/flask,alive,2024-08-19,11
pallets/flask,alive,2024-07-29,2
pallets/flask,alive,2024-07-08,4
pallets/flask,alive,2024-07-01,6
pallets/flask,alive,2024-06-03,3
pallets/flask,alive,2024-05-27,4
pallets/flask,alive,2024-05-20,4
pallets/flask,alive,2024-05-13,1
pallets/flask,alive,2024-04-15,1
pallets/flask,alive,2024-05-06,13
pallets/flask,alive,2024-04-29,2
pallets/flask,alive,2024-04-22,6
pallets/flask,alive,2024-04-08,3
pallets/flask,alive,2024-04-01,14
pallets/flask,alive,2023-09-25,2
pallets/flask,alive,2024-02-26,1
pallets/flask,alive,2024-02-12,1
pallets/flask,alive,2024-02-05,1
pallets/flask,alive,2024-01-29,10
pallets/flask,alive,2024-01-22,2
pallets/flask,alive,2024-01-15,12
pallets/flask,alive,2023-12-11,7
pallets/flask,alive,2024-01-01,4
pallets/flask,alive,2023-12-04,4
pallets/flask,alive,2023-11-20,1
pallets/flask,alive,2023-11-27,2
pallets/flask,alive,2023-11-13,7
pallets/flask,alive,2023-11-06,14
pallets/flask,alive,2023-10-23,3
pallets/flask,alive,2023-10-16,2
pallets/flask,alive,2023-10-02,2
pallets/flask,alive,2023-09-11,1
pallets/flask,alive,2023-09-18,2
pallets/flask,alive,2023-09-04,3
pallets/flask,alive,2023-08-28,5
pallets/flask,alive,2023-08-21,7
pallets/flask,alive,2023-08-14,17
pallets/flask,alive,2023-07-10,3
pallets/flask,alive,2023-06-05,18
pallets/flask,alive,2023-08-07,2
pallets/flask,alive,2023-07-31,6
pallets/flask,alive,2023-07-03,3
pallets/flask,alive,2023-06-26,23
pallets/flask,alive,2023-06-19,2
pallets/flask,alive,2023-05-29,10
pallets/flask,alive,2023-05-22,1
pallets/flask,alive,2023-05-15,1
pallets/flask,alive,2023-05-08,4
pallets/flask,alive,2023-05-01,31
pallets/flask,alive,2023-04-24,18
pallets/flask,alive,2023-04-17,8
pallets/flask,alive,2023-04-10,26
pallets/flask,alive,2023-04-03,2
tiangolo/fastapi,alive,2025-03-31,8
tiangolo/fastapi,alive,2025-03-24,10
tiangolo/fastapi,alive,2025-03-17,19
tiangolo/fastapi,alive,2025-03-10,2
tiangolo/fastapi,alive,2025-03-03,10
tiangolo/fastapi,alive,2025-02-24,49
tiangolo/fastapi,alive,2025-02-17,20
tiangolo/fastapi,alive,2025-02-10,28
tiangolo/fastapi,alive,2025-02-03,34
tiangolo/fastapi,alive,2025-01-27,33
tiangolo/fastapi,alive,2025-01-20,18
tiangolo/fastapi,alive,2025-01-13,50
tiangolo/fastapi,alive,2025-01-06,20
tiangolo/fastapi,alive,2024-12-30,38
tiangolo/fastapi,alive,2024-12-23,12
tiangolo/fastapi,alive,2024-12-16,16
tiangolo/fastapi,alive,2024-12-09,78
tiangolo/fastapi,alive,2024-12-02,10
tiangolo/fastapi,alive,2024-11-25,18
tiangolo/fastapi,alive,2024-11-18,8
tiangolo/fastapi,alive,2024-11-11,13
tiangolo/fastapi,alive,2024-11-04,168
tiangolo/fastapi,alive,2024-10-28,62
tiangolo/fastapi,alive,2024-10-21,110
tiangolo/fastapi,alive,2024-10-14,34
tiangolo/fastapi,alive,2024-10-07,36
tiangolo/fastapi,alive,2024-09-30,34
tiangolo/fastapi,alive,2024-09-23,4
tiangolo/fastapi,alive,2024-09-16,22
tiangolo/fastapi,alive,2024-09-09,30
tiangolo/fastapi,alive,2024-09-02,50
tiangolo/fastapi,alive,2024-08-26,37
tiangolo/fastapi,alive,2024-08-19,29
tiangolo/fastapi,alive,2024-08-12,91
tiangolo/fastapi,alive,2024-08-05,29
tiangolo/fastapi,alive,2024-07-29,39
tiangolo/fastapi,alive,2024-07-22,14
tiangolo/fastapi,alive,2024-07-15,10
tiangolo/fastapi,alive,2024-07-08,37
tiangolo/fastapi,alive,2024-07-01,12
tiangolo/fastapi,alive,2024-06-24,12
tiangolo/fastapi,alive,2024-06-17,12
tiangolo/fastapi,alive,2024-06-10,16
tiangolo/fastapi,alive,2024-06-03,14
tiangolo/fastapi,alive,2024-05-27,16
tiangolo/fastapi,alive,2024-05-20,10
tiangolo/fastapi,alive,2024-05-13,12
tiangolo/fastapi,alive,2024-05-06,12
tiangolo/fastapi,alive,2024-04-29,24
tiangolo/fastapi,alive,2024-04-22,10
tiangolo/fastapi,alive,2024-04-15,25
tiangolo/fastapi,alive,2024-04-01,61
tiangolo/fastapi,alive,2024-03-25,257
tiangolo/fastapi,alive,2024-03-18,18
tiangolo/fastapi,alive,2024-03-11,22
tiangolo/fastapi,alive,2024-03-04,6
tiangolo/fastapi,alive,2024-02-26,3
tiangolo/fastapi,alive,2024-02-19,20
tiangolo/fastapi,alive,2024-02-12,10
tiangolo/fastapi,alive,2024-02-05,29
tiangolo/fastapi,alive,2024-01-29,46
tiangolo/fastapi,alive,2024-01-22,136
tiangolo/fastapi,alive,2024-01-15,48
tiangolo/fastapi,alive,2024-01-08,169
tiangolo/fastapi,alive,2023-12-25,18
tiangolo/fastapi,alive,2023-12-18,2
tiangolo/fastapi,alive,2023-12-11,6
tiangolo/fastapi,alive,2023-12-04,4
tiangolo/fastapi,alive,2023-11-27,6
tiangolo/fastapi,alive,2023-11-13,4
tiangolo/fastapi,alive,2023-10-30,17
tiangolo/fastapi,alive,2023-10-23,12
tiangolo/fastapi,alive,2023-10-16,36
tiangolo/fastapi,alive,2023-10-02,4
tiangolo/fastapi,alive,2023-09-25,23
tiangolo/fastapi,alive,2023-09-18,6
tiangolo/fastapi,alive,2023-09-11,2
tiangolo/fastapi,alive,2023-09-04,4
tiangolo/fastapi,alive,2023-08-28,38
tiangolo/fastapi,alive,2023-08-21,12
tiangolo/fastapi,alive,2023-08-14,26
tiangolo/fastapi,alive,2023-08-07,10
tiangolo/fastapi,alive,2023-07-31,57
tiangolo/fastapi,alive,2023-07-24,30
tiangolo/fastapi,alive,2023-07-03,14
tiangolo/fastapi,alive,2023-06-26,30
tiangolo/fastapi,alive,2023-06-19,78
tiangolo/fastapi,alive,2023-06-12,2
tiangolo/fastapi,alive,2023-06-05,47
tiangolo/fastapi,alive,2023-05-29,33
tiangolo/fastapi,alive,2023-05-15,4
tiangolo/fastapi,alive,2023-05-08,17
tiangolo/fastapi,alive,2023-05-01,2
tiangolo/fastapi,alive,2023-04-24,14
tiangolo/fastapi,alive,2023-04-10,46
tiangolo/fastapi,alive,2023-04-03,1
django/django,alive,2025-03-03,17
django/django,alive,2024-12-09,53
django/django,alive,2025-03-31,1
django/django,alive,2025-03-24,9
django/django,alive,2025-03-10,19
django/django,alive,2025-03-17,18
django/django,alive,2024-07-29,14
django/django,alive,2025-01-13,31
django/django,alive,2025-02-10,19
django/django,alive,2025-02-03,17
django/django,alive,2024-09-16,15
django/django,alive,2025-02-24,8
django/django,alive,2024-05-27,9
django/django,alive,2024-08-12,17
django/django,alive,2024-12-16,12
django/django,alive,2025-02-17,17
django/django,alive,2024-09-02,15
django/django,alive,2024-08-19,19
django/django,alive,2025-01-27,14
django/django,alive,2024-12-23,9
django/django,alive,2025-01-06,23
django/django,alive,2024-09-30,9
django/django,alive,2025-01-20,25
django/django,alive,2024-09-23,12
django/django,alive,2024-10-28,23
django/django,alive,2024-12-30,16
django/django,alive,2024-10-07,19
django/django,alive,2024-12-02,17
django/django,alive,2024-07-01,13
django/django,alive,2024-11-18,14
django/django,alive,2023-11-13,22
django/django,alive,2024-11-04,20
django/django,alive,2024-09-09,22
django/django,alive,2024-11-11,20
django/django,alive,2024-11-25,18
django/django,alive,2024-04-01,16
django/django,alive,2024-10-21,24
django/django,alive,2024-10-14,19
django/django,alive,2024-08-26,17
django/django,alive,2024-01-08,14
django/django,alive,2024-08-05,34
django/django,alive,2024-03-25,9
django/django,alive,2024-07-22,19
django/django,alive,2024-06-03,16
django/django,alive,2024-07-15,17
django/django,alive,2024-07-08,13
django/django,alive,2024-06-24,22
django/django,alive,2024-01-29,19
django/django,alive,2024-05-13,8
django/django,alive,2024-06-17,14
django/django,alive,2024-03-18,13
django/django,alive,2024-06-10,10
django/django,alive,2024-04-22,13
django/django,alive,2024-05-20,16
django/django,alive,2024-05-06,16
django/django,alive,2024-04-29,23
django/django,alive,2024-04-15,12
django/django,alive,2024-01-22,25
django/django,alive,2023-05-29,24
django/django,alive,2024-04-08,14
django/django,alive,2024-03-11,15
django/django,alive,2023-09-11,31
django/django,alive,2024-03-04,31
django/django,alive,2023-10-16,28
django/django,alive,2024-02-26,13
django/django,alive,2024-02-05,18
django/django,alive,2023-12-11,25
django/django,alive,2024-02-19,32
django/django,alive,2024-02-12,15
django/django,alive,2023-12-25,19
django/django,alive,2023-08-14,8
django/django,alive,2023-05-15,14
django/django,alive,2024-01-15,14
django/django,alive,2023-04-03,22
django/django,alive,2024-01-01,19
django/django,alive,2023-12-04,19
django/django,alive,2023-11-27,23
django/django,alive,2023-12-18,12
django/django,alive,2023-11-20,36
django/django,alive,2023-11-06,13
django/django,alive,2023-10-23,15
django/django,alive,2023-10-30,14
django/django,alive,2023-10-02,14
django/django,alive,2023-09-04,16
django/django,alive,2023-06-12,21
django/django,alive,2023-10-09,6
django/django,alive,2023-09-25,11
django/django,alive,2023-05-22,16
django/django,alive,2023-06-26,20
django/django,alive,2023-09-18,26
django/django,alive,2023-07-31,16
django/django,alive,2023-08-28,10
django/django,alive,2023-07-03,23
django/django,alive,2023-08-21,22
django/django,alive,2023-07-24,13
django/django,alive,2023-07-17,18
django/django,alive,2023-08-07,6
django/django,alive,2023-07-10,12
django/django,alive,2023-06-19,11
django/django,alive,2023-06-05,18
django/django,alive,2023-04-10,15
django/django,alive,2023-05-01,15
django/django,alive,2023-04-17,22
django/django,alive,2023-04-24,14
django/django,alive,2023-05-08,13
psf/requests,alive,2025-03-31,2
psf/requests,alive,2025-03-24,1
psf/requests,alive,2025-02-17,5
psf/requests,alive,2025-02-10,6
psf/requests,alive,2025-02-03,2
psf/requests,alive,2025-01-27,3
psf/requests,alive,2024-12-09,1
psf/requests,alive,2024-11-04,2
psf/requests,alive,2024-10-28,5
psf/requests,alive,2024-09-30,2
psf/requests,alive,2024-09-16,7
psf/requests,alive,2024-09-02,2
psf/requests,alive,2024-08-12,2
psf/requests,alive,2024-07-29,2
psf/requests,alive,2024-07-22,1
psf/requests,alive,2024-07-15,1
psf/requests,alive,2024-07-01,2
psf/requests,alive,2024-05-27,2
psf/requests,alive,2024-05-20,11
psf/requests,alive,2024-05-13,3
psf/requests,alive,2024-05-06,2
psf/requests,alive,2024-04-22,1
psf/requests,alive,2024-04-15,2
psf/requests,alive,2024-04-08,4
psf/requests,alive,2024-04-01,2
psf/requests,alive,2024-03-18,2
psf/requests,alive,2024-03-11,3
psf/requests,alive,2024-02-26,1
psf/requests,alive,2024-02-19,14
psf/requests,alive,2023-11-20,10
psf/requests,alive,2024-02-05,2
psf/requests,alive,2024-01-29,1
psf/requests,alive,2024-01-08,2
psf/requests,alive,2023-12-18,10
psf/requests,alive,2023-12-11,10
psf/requests,alive,2023-11-27,7
psf/requests,alive,2023-11-13,2
psf/requests,alive,2023-10-30,4
psf/requests,alive,2023-10-16,2
psf/requests,alive,2023-10-09,5
psf/requests,alive,2023-10-02,1
psf/requests,alive,2023-09-25,2
psf/requests,alive,2023-09-11,2
psf/requests,alive,2023-09-04,2
psf/requests,alive,2023-08-28,4
psf/requests,alive,2023-08-14,2
psf/requests,alive,2023-08-07,17
psf/requests,alive,2023-07-24,4
psf/requests,alive,2023-07-03,1
psf/requests,alive,2023-06-26,1
psf/requests,alive,2023-05-22,3
psf/requests,alive,2023-05-15,1
psf/requests,alive,2023-05-08,2
psf/requests,alive,2023-05-01,1
psf/requests,alive,2023-04-24,2
psf/requests,alive,2023-04-17,4
numpy/numpy,alive,2025-03-31,6
numpy/numpy,alive,2025-03-24,29
numpy/numpy,alive,2025-03-17,22
numpy/numpy,alive,2025-02-24,25
numpy/numpy,alive,2025-02-17,30
numpy/numpy,alive,2025-02-03,60
numpy/numpy,alive,2025-01-27,44
numpy/numpy,alive,2025-01-20,49
numpy/numpy,alive,2025-03-10,110
numpy/numpy,alive,2025-03-03,56
numpy/numpy,alive,2025-02-10,23
numpy/numpy,alive,2025-01-13,30
numpy/numpy,alive,2024-12-30,21
numpy/numpy,alive,2025-01-06,75
numpy/numpy,alive,2024-12-09,59
numpy/numpy,alive,2024-11-11,78
numpy/numpy,alive,2024-12-16,44
numpy/numpy,alive,2024-12-23,24
numpy/numpy,alive,2024-11-04,36
numpy/numpy,alive,2024-12-02,60
numpy/numpy,alive,2024-11-18,54
numpy/numpy,alive,2024-11-25,27
numpy/numpy,alive,2024-03-04,114
numpy/numpy,alive,2024-02-12,96
numpy/numpy,alive,2024-01-22,72
numpy/numpy,alive,2024-10-28,62
numpy/numpy,alive,2024-09-30,52
numpy/numpy,alive,2024-09-16,48
numpy/numpy,alive,2024-10-21,43
numpy/numpy,alive,2024-10-14,44
numpy/numpy,alive,2024-09-23,30
numpy/numpy,alive,2024-09-09,53
numpy/numpy,alive,2024-10-07,30
numpy/numpy,alive,2024-09-02,43
numpy/numpy,alive,2024-08-26,77
numpy/numpy,alive,2024-08-12,43
numpy/numpy,alive,2024-08-05,89
numpy/numpy,alive,2024-07-08,70
numpy/numpy,alive,2024-07-01,83
numpy/numpy,alive,2024-08-19,24
numpy/numpy,alive,2024-07-22,122
numpy/numpy,alive,2024-07-15,73
numpy/numpy,alive,2024-05-27,86
numpy/numpy,alive,2024-07-29,50
numpy/numpy,alive,2024-06-17,52
numpy/numpy,alive,2024-06-24,44
numpy/numpy,alive,2024-05-13,57
numpy/numpy,alive,2024-06-10,72
numpy/numpy,alive,2024-05-06,44
numpy/numpy,alive,2024-04-22,39
numpy/numpy,alive,2024-04-01,39
numpy/numpy,alive,2024-03-18,57
numpy/numpy,alive,2024-02-26,70
numpy/numpy,alive,2024-02-05,89
numpy/numpy,alive,2024-06-03,128
numpy/numpy,alive,2024-05-20,59
numpy/numpy,alive,2023-08-14,53
numpy/numpy,alive,2024-02-19,48
numpy/numpy,alive,2024-04-15,62
numpy/numpy,alive,2024-04-29,33
numpy/numpy,alive,2024-04-08,47
numpy/numpy,alive,2024-03-25,56
numpy/numpy,alive,2024-03-11,58
numpy/numpy,alive,2023-12-11,88
numpy/numpy,alive,2023-12-04,78
numpy/numpy,alive,2023-11-13,104
numpy/numpy,alive,2024-01-29,52
numpy/numpy,alive,2024-01-15,76
numpy/numpy,alive,2023-12-25,35
numpy/numpy,alive,2024-01-01,42
numpy/numpy,alive,2023-12-18,86
numpy/numpy,alive,2024-01-08,39
numpy/numpy,alive,2023-11-20,71
numpy/numpy,alive,2023-10-23,60
numpy/numpy,alive,2023-10-30,81
numpy/numpy,alive,2023-11-27,77
numpy/numpy,alive,2023-11-06,63
numpy/numpy,alive,2023-10-16,80
numpy/numpy,alive,2023-10-09,51
numpy/numpy,alive,2023-07-24,83
numpy/numpy,alive,2023-07-10,78
numpy/numpy,alive,2023-04-10,64
numpy/numpy,alive,2023-10-02,53
numpy/numpy,alive,2023-09-18,50
numpy/numpy,alive,2023-06-26,120
numpy/numpy,alive,2023-06-19,59
numpy/numpy,alive,2023-09-11,49
numpy/numpy,alive,2023-08-07,55
numpy/numpy,alive,2023-07-17,71
numpy/numpy,alive,2023-09-25,51
numpy/numpy,alive,2023-09-04,61
numpy/numpy,alive,2023-06-05,60
numpy/numpy,alive,2023-08-28,81
numpy/numpy,alive,2023-08-21,137
numpy/numpy,alive,2023-07-31,50
numpy/numpy,alive,2023-07-03,60
numpy/numpy,alive,2023-05-15,55
numpy/numpy,alive,2023-04-24,66
numpy/numpy,alive,2023-06-12,113
numpy/numpy,alive,2023-05-29,49
numpy/numpy,alive,2023-05-22,55
numpy/numpy,alive,2023-04-03,47
numpy/numpy,alive,2023-05-08,42
numpy/numpy,alive,2023-05-01,59
numpy/numpy,alive,2023-04-17,40
pandas-dev/pandas,alive,2025-03-31,2
pandas-dev/pandas,alive,2025-03-24,8
pandas-dev/pandas,alive,2025-03-17,10
pandas-dev/pandas,alive,2025-03-10,12
pandas-dev/pandas,alive,2025-03-03,21
pandas-dev/pandas,alive,2025-02-24,18
